序号,课程号,课程名称,开课单位,课程类型,班号,学分,起止周,上课时间,教师,备注
567,4832850,创新工程实践,信息科学技术学院,全校公选课,1,3,1-16,星期三(第10节-第12节),陈江,二教地下极客实验室
568,4833030,文献写作与报告,信息科学技术学院,通选课,1,2,1-16,星期二(第5节-第6节),胡薇薇 段晓辉 解晓鹏 陈江,
569,4833050,算法设计与分析,信息科学技术学院,专业必修,1,5,1-16,星期一(第3节-第4节) 星期三(第5节-第6节),蒋婷婷,小班课上课时间：每周五5-6节课。请选大班的同学空出小班上课时间，小班
570,4833371,信息科学中的物理学（下）,信息科学技术学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第5节-第6节),于民,
571,4833461,前沿计算研究实践（II）,信息科学技术学院,专业必修,1,3,1-16,星期一(第7节-第8节),邓小铁,三节连上，每周一7-9节课；图灵班、拔尖班必修。
572,4833520,大数据管理技术,信息科学技术学院,专业任选,1,2,1-16,星期三(第7节-第8节),陈立军,
573,4833840,程序设计与算法,信息科学技术学院,专业限选,1,3,1-16,星期三(第3节-第4节) 星期五(第7节-第8节)(单),依那,"与“数算B""和“数算A”互斥"
574,4833970,计算摄像学：成像模型理论与深度学习实践,信息科学技术学院,专业任选,1,2,1-16,星期二(第5节-第6节),施柏鑫,
575,4833980,并行算法设计基础,信息科学技术学院,专业任选,1,3,1-16,星期一(第1节-第2节) 星期四(第5节-第6节)(单),余华山,
576,4834200,编译原理,信息科学技术学院,专业必修,1,4,1-16,星期二(第5节-第6节) 星期五(第5节-第6节),张路 王迪 刘先华,
577,4834210,计算机网络,信息科学技术学院,专业限选,1,4,1-16,星期一(第3节-第4节) 星期四(第5节-第6节),吴文斐,
578,4834400,神经网络的计算基础,信息科学技术学院,专业任选,1,2,1-16,星期一(第5节-第6节),田永鸿,
579,4834630,Python程序设计与数据科学导论,信息科学技术学院,专业必修,1,3,1-16,星期一(第5节-第6节) 星期四(第5节-第6节)(双),胡俊峰,
580,4834680,微纳机电系统,信息科学技术学院,专业必修,1,3,1-16,星期二(第1节-第2节) 星期四(第3节-第4节),李志宏,
581,4834790,数字逻辑电路,信息科学技术学院,专业必修,1,3,1-16,星期二(第5节-第6节) 星期五(第3节-第4节),崔小欣 贾天宇,
582,4834920,计算机视觉导论,信息科学技术学院,专业必修,1,3,1-16,星期三(第7节-第8节),王鹤,三节连上，每周三7-9节课。
583,4834960,计算系统建模、分析与优化,信息科学技术学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第5节-第6节),梁云,
584,4835130,软件科学基础,信息科学技术学院,专业必修,1,3,1-16,星期二(第7节-第8节)(双) 星期四(第5节-第6节),熊英飞,
585,4835460,编译原理（实验班）,信息科学技术学院,专业必修,1,4,1-16,星期二(第5节-第6节) 星期五(第5节-第6节),张路 刘先华 王迪,
586,12631170,环境生物学,城市与环境学院,专业必修,1,4,1-16,星期三(第3节-第4节) 星期四(第5节-第6节),黄崇 张照斌,院楼机房105，环健生态任
587,12633090,地图学与GIS基础,城市与环境学院,专业必修,1,3,1-16,星期一(第5节-第6节) 星期三(第1节-第2节)(双),李梅,自地人文核，国土生态环科城规任
588,12634140,经济地理学,城市与环境学院,专业必修,1,2,1-16,星期二(第3节-第4节),贺灿飞,人文核、城规国土基、自地地信任
589,12732080,环境工程学二,环境科学与工程学院,专业必修,1,2,1-16,星期二(第3节-第4节),温东辉,
590,12733110,大气化学基础,环境科学与工程学院,专业任选,1,2,1-16,星期二(第5节-第6节),叶春翔,
591,12733140,企业环境管理,环境科学与工程学院,专业任选,1,2,1-16,星期三(第7节-第8节),韩凌,
592,12733200,环境测量数据分析与可视化,环境科学与工程学院,专业任选,1,2,1-16,星期二(第3节-第4节),吴志军,
593,12734050,环境工程实验（一）,环境科学与工程学院,专业任选,1,1.5,3-10,星期二(第7节-第12节),杨武霖,环境大楼 124/125实验室
594,21130007,农业经济史及其量化研究,现代农学院,全校公选课,1,2,1-16,星期三(第7节-第8节),王晓兵,
595,21130021,免疫检测,现代农学院,全校公选课,1,2,1-16,星期二(第7节-第8节),张改平 张意锋,
596,22530003,AI中的数学,人工智能研究院,专业必修,1,3,1-16,星期四(第7节-第8节),邓小铁,授课时间是周四的7-9节
597,22530007,人工智能与芯片设计,人工智能研究院,专业任选,1,2,1-16,星期一(第7节-第8节),燕博南,
598,22530009,蒙特卡洛方法,人工智能研究院,专业限选,1,3,1-16,星期二(第7节-第8节) 星期四(第7节-第8节)(双),朱松纯,上课地点将使用研究院实验室，确定后再通知。
599,22530010,计算神经科学和类脑智能领域前沿进展（专题）,人工智能研究院,专业任选,1,2,1-16,星期四(第5节-第6节),杜凯 余肇飞 马雷,
600,E2834421,证券投资学,光华管理学院,专业必修,1,3,1-16,星期四(第7节-第8节),张英广,申请7-9节三节连排，金融必修，taught in English
601,330760,工程数学,工学院,专业必修,1,3,1-16,星期二(第5节-第6节) 星期四(第1节-第2节),黄建永,强基工+能+航+生+材，工航/能生材机
602,331311,工程CAD(1),工学院,专业任选,1,3,1-16,星期二(第5节-第6节) 星期四(第7节-第8节)(单),李水乡,强基（工）+工大三大四
603,331502,数学分析 (二),工学院,专业必修,1,4,1-16,星期三(第1节-第2节) 星期五(第3节-第4节),史一蓬,力学强基+工学类
604,331762,数学分析 (二)习题课,工学院,专业必修,1,0,1-16,星期三(第10节-第11节),史一蓬,24级1班
605,332282,流体力学(下),工学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(双),肖左利,希望二教206或106  强基力，力，力机双主修三下
606,332330,固体力学实验,工学院,专业必修,1,3,1-16,星期三(第7节-第8节),陈建霖 周文灵,周三7-9节 强基力，力，工，力机双主修三下
607,332740,计算方法上机,工学院,专业任选,1,0,1-16,星期二(第10节-第11节),袁子峰,工必修/强工航生材，航生大三（选修）
608,332980,物理流体力学,工学院,专业任选,1,3,1-16,星期二(第7节-第8节) 星期四(第5节-第6节)(双),苏卫东,大四 强力 力，工航机能源材料生医
609,333630,细胞与分子影像学,工学院,专业任选,1,3,1-16,星期二(第5节-第6节) 星期四(第10节-第11节)(双),陈匡时,生，强基（生）大三/大四
610,333930,生物医学图像处理,工学院,专业任选,1,3,1-16,星期三(第5节-第6节) 星期五(第3节-第4节)(双),席鹏,生，强基（生）
611,334050,材料力学实验,工学院,专业必修,1,1,9-16,星期一(第7节-第8节),陈建霖 周文灵,力航必修/强基（力航），力机双主修二下
612,334330,信号与系统,工学院,专业任选,1,3,1-16,星期三(第5节-第6节) 星期五(第5节-第6节)(双),张飞天,机（二下）， 力机双主修（三下）
613,334410,先进制造技术基础,工学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期四(第3节-第4节)(双),陈光,机，力机双主修三下
614,334530,生物医学传感器,工学院,专业任选,1,3,1-16,星期三(第7节-第8节),韩梦迪,周三7-9节 生，强基（生）
615,334600,大语言模型与信息决策,工学院,专业任选,1,3,1-16,星期二(第10节-第11节) 星期四(第5节-第6节)(双),袁坤,大三大四工学院学生
616,405589,强场光物理,物理学院,专业任选,1,2,1-16,星期一(第3节-第4节),刘运全,研本合上
617,405634,冷原子实验方法与技术,物理学院,专业任选,1,2,1-16,星期二(第5节-第6节),张熙博,研本合上
618,405645,超快激光和光谱,物理学院,专业任选,1,2,1-16,星期五(第3节-第4节),施可彬,研本合上，全球课堂
619,405663,高等电动力学,物理学院,专业任选,1,4,1-16,星期三(第3节-第4节) 星期五(第3节-第4节),彭良友 杨再宏,研本合上
620,410644,非线性物理专题,物理学院,专业任选,1,3,1-16,星期三(第10节-第12节),欧阳颀 王宏利,研本合上
621,410740,光学理论,物理学院,专业任选,1,4,1-16,星期二(第3节-第4节) 星期四(第1节-第2节),王若鹏,研本合上
622,414860,激光实验,物理学院,专业必修,1,2,1-16,,胡小永,研本课，金工楼204上课，开学第一周务必到物理西楼416登记
623,430132,现代电子电路基础及实验 (一),物理学院,专业必修,1,3,1-16,星期二(第7节-第8节) 星期四(第5节-第6节),王志军,
624,430171,人类生存发展与核科学,物理学院,通选课,1,2,1-16,星期三(第5节-第6节),郭秋菊,第16周随堂考试
625,430194,天体物理导论,物理学院,专业必修,1,3,1-16,星期一(第1节-第2节)(单) 星期四(第7节-第8节),徐仁新,本研合上
626,431143,电磁学,物理学院,专业必修,1,3,1-16,星期一(第3节-第4节) 星期三(第1节-第2节)(单),檀时钠,卓越班
627,431144,光学,工学院,专业任选,1,2,1-16,星期一(第5节-第6节),肖云峰,
628,431155,电磁学,物理学院,专业必修,1,4,1-16,星期一(第3节-第4节) 星期三(第1节-第2节),沈波,4学分电磁学扫尾班，请2023级以前重修、缓考等同学务必选课
629,431156,光学,物理学院,专业必修,1,4,1-16,星期三(第5节-第6节) 星期五(第1节-第2节),王树峰,4学分光学，适用于2023级（含）以前学生
630,431159,原子物理习题,物理学院,专业限选,1,0,1-16,星期二(第1节-第2节)(双),徐仁新,
631,431255,电磁学习题课,物理学院,专业必修,1,0,1-16,星期三(第1节-第2节)(双),檀时钠,
632,431650,平衡态统计物理,物理学院,专业必修,1,4,1-16,星期一(第1节-第2节) 星期三(第3节-第4节),杨志成,卓越班
633,431701,固体物理讨论班,物理学院,专业必修,1,2,1-16,星期二(第10节-第11节),方哲宇,排讨论教室
634,432130,热力学与统计物理 (A),物理学院,专业必修,1,4,1-16,星期一(第1节-第2节) 星期三(第3节-第4节),徐莉梅,
635,432149,量子力学 (B),物理学院,专业必修,1,3,1-16,星期二(第1节-第2节)(单) 星期四(第3节-第4节),孟杰,
636,432151,量子力学习题,物理学院,专业必修,1,0,1-16,星期一(第10节-第11节)(单),曹庆宏,
637,432152,量子力学专题,物理学院,专业必修,1,3,1-16,星期二(第7节-第8节),舒菁,周二7-9三节连上
638,432160,电动力学习题,物理学院,专业必修,1,0,1-16,星期一(第10节-第11节)(双),朱守华,
639,432166,几何光学及光学仪器,物理学院,专业任选,1,2,1-16,星期一(第3节-第4节),高宇南,本研合上
640,432198,理论力学(A),物理学院,专业必修,1,4,1-16,星期二(第5节-第6节) 星期四(第7节-第8节),邵立晶,2023级（含）以前的同学扫尾班
641,432249,流体力学,物理学院,专业必修,1,3,1-16,星期二(第1节-第2节)(单) 星期四(第3节-第4节),丁峰,
642,432252,大气动力学基础,物理学院,专业必修,1,4,1-16,星期二(第5节-第6节) 星期四(第5节-第6节),聂绩,
643,432265,现代天文学,物理学院,通选课,1,2,1-16,星期五(第10节-第11节),王科,
644,432272,微机原理及上机,物理学院,专业任选,1,3,1-16,星期一(第10节-第11节),赵引,上机时间为周五10-11
645,432301,地球环境问题与应对,物理学院,全校公选课,1,2,1-16,星期二(第5节-第6节),KUWATA MIKINORI,第16周随堂笔试，全球课堂
646,432401,应用物理前沿实验,物理学院,专业必修,1,4,1-16,星期三(第5节-第12节),李湘庆,第一周在理教109上绪论课
647,434103,科学写作和交流,物理学院,专业任选,1,2,1-16,星期四(第5节-第6节),KOLL DANIEL DRAGOMIR BENEDIKT,卓越荣誉选修
648,434202,核物理与粒子物理中的先进计算模拟,物理学院,专业任选,1,4,1-16,星期一(第3节-第4节) 星期五(第1节-第2节),王思广 李强 李智焕 裴俊琛 周辰,本研合上
649,434441,今日物理,物理学院,通选课,1,3,1-16,星期三(第7节-第8节),李新征,周三7-9三节连上，第16周随堂笔试
650,1034330,普通化学习题课,工学院,专业必修,1,0,1-16,星期二(第5节-第6节),刘春立,强基能+能+强基航+航+强基生+生科40+生医+强基材+材
651,1034880,普通化学（B）,工学院,专业必修,1,4,1-16,星期一(第7节-第8节) 星期四(第7节-第8节),刘春立,强基能+能+强基航+航+强基生+生科40+生医+强基材+材
652,1339320,中国历史地理,城市与环境学院,通选课,1,2,1-16,星期一(第10节-第11节),韩茂莉,400人及以上教室
653,1339330,中国古典园林赏析,城市与环境学院,通选课,1,2,1-16,星期四(第10节-第11节),董豫赣,本研合上
654,1534060,综合自然地理学,城市与环境学院,专业必修,1,3,1-16,星期三(第7节-第8节),蒙吉军,连排7-9，国土生态城规任
655,1536011,普通生态学1,城市与环境学院,专业必修,1,2,1-8,星期二(第10节-第11节) 星期四(第3节-第4节),贺金生,
656,1536012,普通生态学2,城市与环境学院,专业必修,1,2,9-16,星期二(第10节-第11节) 星期四(第3节-第4节),唐志尧,
657,1536013,普通生态学3,城市与环境学院,专业必修,1,2,1-16,星期三(第3节-第4节),朴世龙,院楼108
658,1536210,水环境化学,城市与环境学院,专业必修,1,3,1-16,星期二(第1节-第2节)(双) 星期三(第3节-第4节),刘文新,生态任
659,1834349,人工智能生成内容实务（AIGC）,新闻与传播学院,专业任选,1,2,1-16,星期三(第3节-第4节),严富昌,
660,2534200,风险管理学,经济学院,专业必修,1,3,1-16,星期一(第10节-第11节),刘新立,连12
661,2534670,企业风险管理,经济学院,专业限选,1,2,1-16,星期一(第7节-第8节),刘新立,本研合上
662,2534970,成本效益分析,经济学院,专业限选,1,2,1-16,星期二(第3节-第4节),蒋云赟,
663,2535030,企业全面风险管理,经济学院,全校公选课,1,2,1-16,星期四(第5节-第6节),陈凯,Taught in English
664,2830150,中国经济,光华管理学院,专业任选,1,2,1-16,星期二(第10节-第11节),王辉 周黎安 唐遥,金经选修
665,2833720,计量经济学,光华管理学院,专业必修,1,3,1-16,星期三(第7节-第8节),宋晓军,申请7-9节三节连排
666,2930193,普通法精要（私法）,法学院,专业任选,1,3,1-16,星期二(第10节-第11节),楼建波,本硕合 改10-12
667,2930980,债权法,法学院,专业必修,1,4,1-16,星期四(第3节-第4节) 星期五(第1节-第2节),许德峰 贺剑,
668,3533051,越南语泛读（上）,外国语学院,专业必修,1,2,1-16,星期四(第1节-第2节),谢昂,
669,3533274,基础越南语（四）,外国语学院,专业必修,1,8,1-16,星期一(第7节-第8节) 星期二(第1节-第2节) 星期三(第7节-第8节) 星期五(第1节-第4节),咸蔓雪 谢昂,
670,3833070,社会语言学,外国语学院,全校公选课,1,2,1-16,星期四(第3节-第4节),罗正鹏,仅语言学项目同学可选
671,4031661,中国近现代史纲要,马克思主义学院,思想政治,1,3,1-16,星期一(第7节-第8节),张永 裴植 路宽 王文章,
672,4130030,太极拳,体育教研部,体育,1,1,1-16,星期二(第5节-第6节),彭芳,男生班   五四317
673,4130750,无极球,体育教研部,体育,1,1,1-16,星期三(第3节-第4节),刘林青,二体
674,4830221,数据库概论（实验班）,信息科学技术学院,专业限选,1,3,1-16,星期一(第5节-第6节) 星期四(第3节-第4节)(单),高军,
675,4831080,微电子器件测试实验,信息科学技术学院,专业任选,1,2,1-16,,韩德栋,周三下午
676,4833060,算法设计与分析（实验班）,信息科学技术学院,专业必修,1,5,1-16,星期一(第3节-第4节) 星期三(第5节-第6节),罗国杰,优先图灵班、拔尖班。小班上课时间：每周五5-6节。请空出小班上课时间，
677,4833440,计算理论导论,信息科学技术学院,专业必修,1,3,1-16,星期五(第7节-第8节),程宽,三节连上，每周五7-9节课；图灵班必修。
678,4834580,软件工程（实验班）,信息科学技术学院,专业必修,1,4,1-16,星期一(第10节-第11节) 星期四(第3节-第4节),黄罡,
679,4834750,电子信息技术实践,信息科学技术学院,通选课,1,2,2-16,星期一(第10节-第12节),杨延军,理二2262
680,4835160,应用物理研究实践,信息科学技术学院,专业必修,1,3,1-16,星期二(第7节-第8节),孙伟,3节连上
681,4835430,信息学中的概率统计,信息科学技术学院,专业必修,1,3,1-16,星期三(第10节-第11节)(单) 星期五(第3节-第4节),袁骁,与“00131480 概率统计A”互斥。
682,8615440,地下资源工程原理,工学院,专业任选,1,3,1-16,星期一(第7节-第9节),刘扣其,研本合上-强基能/能
683,12631010,污染环境修复,城市与环境学院,专业必修,1,3,1-16,星期四(第7节-第8节),卢晓霞,连排7-9，生态任
684,12631060,大气环境导论,城市与环境学院,专业必修,1,2,1-16,星期四(第3节-第4节),刘峻峰,环境健康任
685,12631200,能源与环境,城市与环境学院,专业必修,1,2,1-16,星期一(第10节-第11节),沈国锋,本研合上，生态任
686,12632050,气候变化科学概论,城市与环境学院,专业必修,1,2,1-16,星期四(第10节-第11节),朴世龙,自地生态任，本研合上
687,12632130,植物学（下）,城市与环境学院,专业必修,1,2.5,1-16,星期三(第7节-第8节),刘鸿雁,连排7-9，自然合，环科城规国土任
688,12632230,微生物生态学基础,城市与环境学院,专业任选,1,2,1-16,星期二(第5节-第6节),吴林蔚,
689,12633040,世界自然地理,城市与环境学院,专业任选,1,2,1-16,星期四(第3节-第4节),彭建,院楼108，人文国土生态城规任
690,12634150,气候变化经济学,城市与环境学院,专业任选,1,2,1-16,星期五(第1节-第2节),刘宇,人文城规国土合
691,12634160,社区参与式研究,城市与环境学院,专业任选,1,2,1-16,星期一(第7节-第8节),童昕,大三城规合
692,12635080,城市形态学导论,城市与环境学院,专业任选,1,2,1-16,星期一(第5节-第6节),宋峰,院楼205，人文国土合
693,12635130,城乡社区空间规划与设计,城市与环境学院,专业必修,1,3,1-16,星期四(第10节-第12节),戴林琳,院楼203，国土合
694,12635140,交通分析模拟与规划,城市与环境学院,专业任选,1,2,1-16,星期四(第1节-第2节),赵鹏军,院楼105，人文国土合
695,12635240,风景名胜区规划,城市与环境学院,专业任选,1,2,1-16,星期二(第3节-第4节),陈耀华,院楼203，人文国土合
696,12635290,详细规划,城市与环境学院,专业必修,1,3,1-16,星期三(第10节-第12节),戴林琳,院楼203，国土合
697,12730170,可持续校园实践,环境科学与工程学院,通选课,1,3,1-16,星期四(第7节-第8节),韩凌,三节连排
698,12731060,环境伦理概论,环境科学与工程学院,通选课,1,2,1-16,星期四(第10节-第11节),林官明,环境科学与工程学院不作为通选
699,12739080,绿色未来的技术理念,环境科学与工程学院,全校公选课,1,2,1-16,星期一(第7节-第8节),陈琦,
700,19530005,社会综合实践调查,建筑与景观设计学院,全校公选课,1,3,1-16,星期四(第1节-第3节),汪芳,建议本科三年级及以上年级选课
701,330140,计算流体力学,工学院,专业必修,1,3,1-16,星期一(第7节-第8节)(双) 星期三(第10节-第11节),赵耀民,强工+工必修，强力+力选修，力机双主修三下
702,331880,高等代数,工学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(双),杨莹,力学强基+工学类
703,332150,渗流物理,工学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期三(第7节-第8节)(双),徐克,强基能+能
704,332241,数学物理方法(上),工学院,专业必修,1,3,1-16,星期一(第3节-第4节) 星期四(第1节-第2节)(单),符策基,强基力，力，力机双主修二下
705,332460,连续介质力学基础,工学院,专业任选,1,3,1-16,星期三(第7节-第8节) 星期五(第5节-第6节)(双),李植,强力 力，工航，力机双主修二下
706,333360,魅力机器人,工学院,全校公选课,1,2,1-16,星期二(第10节-第11节),谢广明,需借前2周教室，其他时间为慕课
707,333400,对话全球创新大师,工学院,全校公选课,1,2,1-16,星期五(第10节-第11节),陈正 李咏梅,周五10-12节
708,333800,生物医学工程综合实验I,工学院,专业任选,1,2,1-16,星期四(第5节-第8节),孙红芳,大二大三生，强基（生）。第一次上课地点新奥工学大楼B140房间
709,334030,工学创新实践,工学院,专业任选,1,3,1-16,星期四(第7节-第8节),李忠奎,周四7-9节 力工航机借前2周教室
710,334040,软物质流体力学导论,工学院,专业任选,1,3,1-16,星期二(第7节-第8节) 星期四(第5节-第6节)(单),沈在意,力工航
711,334082,本科生实践大课堂II,工学院,专业任选,1,3,1-16,,徐克,强基能+能 开课前通知绪论课安排
712,334250,流体波动力学,工学院,专业任选,1,2,1-16,星期四(第7节-第8节),谢金翰,研本合上 -大三大四力工航
713,334340,面向复杂人生的系统思维 I,工学院,通选课,1,3,1-16,星期三(第10节-第11节),佘振苏,周三10-12
714,334371,医用发育生物学,工学院,专业任选,1,3,1-16,星期一(第7节-第8节) 星期三(第1节-第2节)(双),葛子钢,生，强基（生） 混合式教学，2-3周一次线上学习。
715,334400,CAD工程设计基础,工学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(双),陈军,强基（工）大一到大三工学院学生均可选课
716,334441,计算固体力学I,工学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(单),丁陈森,工必修/强基工必选
717,334490,工程科学中的偏微分方程,工学院,专业必修,1,4,1-16,星期一(第3节-第4节) 星期四(第1节-第2节),唐少强,力限选修过《高等微积分》的同学
718,431200,基础物理实验,工学院,专业必修,1,2,1-16,星期四(第5节-第8节),王伟,必修：强基力工能航生材，工生双培 选修：力能航机材
719,431680,普通物理习题课,化学与分子工程学院,专业必修,1,0,1-16,星期四(第10节-第11节),唐宁,
720,432109,数学物理方法 (下),物理学院,专业必修,1,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(单),高春媛,
721,432110,数学物理方法,物理学院,专业必修,1,4,1-16,星期二(第3节-第4节) 星期四(第1节-第2节),张大新,
722,432224,现代物理前沿讲座（Ⅱ）,物理学院,专业任选,1,2,1-16,星期四(第10节-第11节),李新征,
723,1531180,地貌学,城市与环境学院,专业必修,1,3,1-16,星期一(第7节-第8节) 星期四(第5节-第6节)(单),李有利,国土城规基、自地核、人文地信任
724,1534230,自然保护学,城市与环境学院,通选课,1,2,1-16,星期三(第10节-第11节),李双成,
725,1534300,土壤学与土壤地理,城市与环境学院,专业必修,1,2,1-16,星期二(第7节-第8节),陆雅海,生态城规任
726,1535100,旅游地理学,城市与环境学院,专业任选,1,2,1-16,星期二(第7节-第8节),武弘麟,人文国土城规合
727,1536020,环境经济学,城市与环境学院,专业必修,1,2,1-16,星期二(第3节-第4节),王学军,人文生态任
728,1536850,环境地学,城市与环境学院,专业必修,1,3,1-16,星期二(第7节-第8节),徐福留,连排7-9，人文生态任
729,2532250,数理经济学,经济学院,专业限选,1,3,1-16,星期一(第7节-第9节),江深哲,朗润园万众一楼大教室
730,2535590,新结构公共财政学,经济学院,专业限选,1,3,1-16,星期三(第7节-第8节),吴春赞,连9
731,2535600,新结构空间经济学,经济学院,专业限选,1,3,1-16,星期三(第10节-第12节),尤炜,朗润园万众一楼大教室
732,2839700,企业运营管理,光华管理学院,专业任选,1,2,1-16,星期三(第5节-第6节),雷明 翟昕,原《生产作业管理》勿重复选课
733,2930153,刑法分论,法学院,专业必修,1,4,1-16,星期一(第5节-第6节) 星期二(第1节-第2节),江溯,
734,2930217,数据法学,法学院,专业任选,1,2,1-16,星期一(第10节-第11节),江溯,本硕合
735,3530370,东南亚文化,外国语学院,通选课,1,2,1-16,星期三(第10节-第11节),吴杰伟,
736,3530660,国际传播与语言实践,外国语学院,全校公选课,1,2,1-16,星期二(第10节-第11节),何姝 张嘉妹,仅限外院学生选课
737,3533552,泰语翻译教程 (下),外国语学院,专业必修,1,2,1-16,星期二(第3节-第4节),万悦容,
738,3533590,泰国文学史,外国语学院,专业必修,1,2,1-16,星期四(第5节-第6节),熊燃,
739,3535024,希伯来语视听说(四),外国语学院,专业任选,1,1,1-16,星期二(第5节-第6节),王宇 Chen Tytiun,
740,3535322,古典希伯来语（二）,外国语学院,专业任选,1,2,1-16,星期四(第5节-第6节),梅华龙,
741,3536022,印地语视听说(二),外国语学院,专业必修,1,1,1-16,星期三(第1节-第2节),姜永红,
742,3536212,印度英语报刊文章选读(二),外国语学院,专业任选,1,2,1-16,星期三(第5节-第6节),王靖,
743,3536991,印度研究专题,外国语学院,通选课,1,2,1-16,星期二(第10节-第11节),张忞煜,
744,3537022,乌尔都语视听说(二),外国语学院,专业任选,1,1,1-16,星期三(第7节-第8节),张亚冰 ArshadBhatti,
745,3537354,基础乌尔都语（四）,外国语学院,专业必修,1,9,1-16,星期一(第7节-第8节) 星期二(第1节-第2节) 星期三(第5节-第6节) 星期四(第1节-第2节) 星期五(第3节-第4节),王旭 张嘉妹 张亚冰 ArshadBhatti,
746,3537390,乌尔都语写作教程,外国语学院,专业任选,1,2,1-16,星期一(第5节-第6节),张亚冰 ArshadBhatti,
747,3538061,阿拉伯语写作（一）,外国语学院,专业任选,1,2,1-16,星期三(第1节-第2节),ALAA ELDIN MAMDOUH SAAD AHMED AKEF,
748,3538072,阿拉伯语口译 (二),外国语学院,专业任选,1,1,1-16,星期三(第3节-第4节),ALAA ELDIN MAMDOUH SAAD AHMED AKEF,
749,3538099,阿拉伯诗歌选读,外国语学院,专业必修,1,2,1-16,星期二(第3节-第4节),蒋和平,
750,3538100,阿拉伯小说选读,外国语学院,专业必修,1,2,1-16,星期五(第3节-第4节),倪颖,
751,3538230,开罗方言,外国语学院,专业任选,1,2,1-16,星期一(第3节-第4节),付志明 ALAA ELDIN MAMDOUH SAAD AHMED AKEF,
752,3538402,阿拉伯语视听说（二）,外国语学院,专业必修,1,2,1-16,星期五(第1节-第2节),袁琳 Mahmoud Emam Ahmed Abdellatif,
753,3635200,非洲葡语作家作品选读,外国语学院,专业任选,1,2,1-16,星期三(第1节-第2节),王渊,
754,3730514,高级俄语(四),外国语学院,专业必修,1,2,1-16,星期三(第5节-第6节) 星期五(第3节-第4节),褚敏,
755,3730910,走进俄罗斯之文学,外国语学院,全校公选课,1,4,1-16,星期五(第7节-第8节) 星期六(第1节-第4节),陈松岩 周海燕 王梓,限卓越班项目选课
756,3830110,英译汉,外国语学院,专业必修,1,2,1-16,星期一(第5节-第6节),王逊佳,
757,3831060,语法语义学,外国语学院,专业任选,1,2,1-16,星期一(第7节-第8节),钱军,
758,3832030,短篇小说选读,外国语学院,专业任选,1,2,1-16,星期二(第1节-第2节),纳海,
759,3832040,欧洲文学选读,外国语学院,专业任选,1,2,1-16,星期三(第7节-第8节),倪云,
760,3833340,西方思想与近代中国,外国语学院,专业任选,1,2,1-16,星期四(第5节-第6节),刘锋,
761,3834500,翻译中的语言、文化与社会,外国语学院,专业任选,1,2,1-16,星期四(第7节-第8节),丁林棚,
762,3834520,经典著作的经典译本,外国语学院,专业任选,1,2,1-16,星期一(第3节-第4节),高峰枫,
763,3835543,英语阅读,英语语言文学系,大学英语,1,2,1-16,星期一(第1节-第2节),张敏,文史楼304
764,3835552,英语听说,英语语言文学系,大学英语,1,2,1-16,星期一(第5节-第6节),陈冰,文史楼306
765,3835670,英语非虚构作品中的近当代中国社会与文化,英语语言文学系,大学英语,1,2,1-16,星期四(第5节-第6节),陈冰,文史楼308
766,3835850,希腊罗马神话赏析,英语语言文学系,大学英语,1,2,1-16,星期三(第5节-第6节),沙筱薇,文史楼301
767,3835962,艺术英语阅读与表达,英语语言文学系,大学英语,1,2,1-16,星期一(第1节-第2节),张雁,
768,3835984,英语创意表达-TED演讲视听说,英语语言文学系,大学英语,1,2,1-16,星期四(第5节-第6节),李莉春,文史楼301
769,4030043,中国共产党建设的理论与实践,马克思主义学院,专业必修,1,2,1-16,星期二(第3节-第4节),李洋,
770,4030045,中国经济专题,马克思主义学院,专业任选,1,2,1-16,星期四(第3节-第4节),张凯,
771,4031890,李大钊思想研究,马克思主义学院,通选课,1,2,1-16,星期二(第7节-第8节),朱善璐 欧阳哲生 王奇生 康沛竹 杨琥 王久高 周良书,
772,4130050,乒乓球,体育教研部,体育,1,1,1-16,星期三(第1节-第2节),吴飞,邱德拔140   自带球拍  仅限24级空飞班
773,4130053,乒乓球提高班,体育教研部,体育,1,1,1-16,星期四(第1节-第2节),丁宁,邱德拔140  自带球拍
774,4130063,羽毛球提高班,体育教研部,体育,1,1,1-16,星期三(第3节-第4节),欧阳泽蔓,邱德拔羽毛球馆 自带球拍和球
775,4130075,匹克球,体育教研部,体育,1,1,1-16,星期三(第3节-第4节),刘茂辉,五四羽毛球场  自带球拍
776,4130090,篮球,体育教研部,体育,1,1,1-16,星期一(第5节-第6节),花琳,男生班  二体篮球场
777,4130096,篮球竞赛与裁判基础,体育教研部,体育,1,1,1-16,星期三(第5节-第6节),张亚谦,邱德拔124 或五四篮球场
778,4130350,运动、营养与减肥,体育教研部,全校公选课,1,1,1-16,星期四(第1节-第2节),张晓圆,邱德拔124
